user_id,company_id,user_name,user_full_name,user_active_email,user_active_password,user_role,supervisor,user_scrum_master,is_acive
10001,ABC_Co,admin,Super Admin,eiapplication06@gmail.com,abc123,Super Admin,None,None,TRUE
10002,ABC_Co,alen,Alen David,eiapplication06@gmail.com,def123,Admin,None,None,TRUE
10003,ABC_Co,elliotm,Elliot Miller,eiapplication06@gmail.com,def123,Scrum Master,None,None,TRUE
10004,ABC_Co,coreya,Corey Ali,eiapplication06@gmail.com,def124,Scrum Master,None,None,TRUE
10005,ABC_Co,rhysl,Rhys Lees,eiapplication06@gmail.com,def125,Team Leader,elliotm,elliotm,TRUE
10006,ABC_Co,owenw,Owen Wall,eiapplication06@gmail.com,def126,Team Leader,elliotm,elliotm,TRUE
10007,ABC_Co,daniell,Daniel Leonard,eiapplication06@gmail.com,def127,Team Leader,coreya,coreya,TRUE
10008,ABC_Co,alishai,Alisha Iqbal,eiapplication06@gmail.com,def128,Team Leader,coreya,coreya,TRUE
10009,ABC_Co,mayag,Maya Gray,eiapplication06@gmail.com,def129,Team Member,rhysl,elliotm,TRUE
10010,ABC_Co,rebeccar,Rebecca Robertson,eiapplication06@gmail.com,def130,Team Member,rhysl,elliotm,TRUE
10011,ABC_Co,ering,Erin Giles,eiapplication06@gmail.com,def131,Team Member,rhysl,elliotm,TRUE
10012,ABC_Co,ewank,Ewan Khan,eiapplication06@gmail.com,def132,Team Member,owenw,elliotm,TRUE
10013,ABC_Co,dylanm,Dylan Morley,eiapplication06@gmail.com,def133,Team Member,owenw,elliotm,TRUE
10014,ABC_Co,danielb,Daniel Brookes,eiapplication06@gmail.com,def134,Team Member,owenw,elliotm,TRUE
10015,ABC_Co,sebastiana,Sebastian Atkins,eiapplication06@gmail.com,def135,Team Member,daniell,coreya,TRUE
10016,ABC_Co,michaela,Michael Akhtar,eiapplication06@gmail.com,def136,Team Member,daniell,coreya,TRUE
10017,ABC_Co,abbieh,Abbie Hudson,eiapplication06@gmail.com,def137,Team Member,daniell,coreya,TRUE
10018,ABC_Co,jackc,Jack Cox,eiapplication06@gmail.com,def138,Team Member,alishai,coreya,TRUE
10019,ABC_Co,finleyg,Finley Gray,eiapplication06@gmail.com,def139,Team Member,alishai,coreya,TRUE
10020,ABC_Co,skyet,Skye Talbot,eiapplication06@gmail.com,def140,Team Member,alishai,coreya,TRUE
